Over,Base Tax,percentage
0,0,0.011
20198,222.178,0.022
47884,831.27,0.044
75576,2049.718,0.066
104910,3985.762,0.088
132590,6421.602,0.1023
677278,62143.1844,0.1133
812728,77489.6694,0.1243
1000000,100767.579,0.1353
1354550,148738.194,0.1463
